Time [s],Channel 0,Channel 2,Channel 4,Channel 6
0.000000000,0,0,1,0
0.000085333,1,0,0,0
0.179510125,0,0,0,0
0.179512583,0,0,1,0
0.681246167,0,0,0,0
0.681248417,0,1,0,0
1.182974208,0,0,0,0
1.182976458,0,0,0,1
1.684615333,0,0,0,0
1.684617583,1,0,0,0
2.186112542,0,0,0,0
2.186114958,0,0,1,0
2.687620458,0,0,0,0
2.687622708,0,1,0,0
3.189211458,0,0,0,0
3.189213708,0,0,0,1
3.690810833,0,0,0,0
3.690813125,1,0,0,0
4.192488833,0,0,0,0
4.192491250,0,0,1,0
4.694078833,0,0,0,0
4.694081083,0,1,0,0
5.195661417,0,0,0,0
5.195663667,0,0,0,1
5.697166667,0,0,0,0
5.697168917,1,0,0,0
6.198785250,0,0,0,0
6.198787708,0,0,1,0
6.700441458,0,0,0,0
6.700443708,0,1,0,0
7.202031708,0,0,0,0
7.202033958,0,0,0,1
7.703527833,0,0,0,0
7.703530083,1,0,0,0
8.205150125,0,0,0,0
8.205152542,0,0,1,0
8.706788000,0,0,0,0
8.706790292,0,1,0,0
9.208358667,0,0,0,0
9.208360917,0,0,0,1
9.709960458,0,0,0,0
9.709962708,1,0,0,0
10.211518375,0,0,0,0
10.211520833,0,0,1,0
10.713149167,0,0,0,0
10.713151417,0,1,0,0
11.214804958,0,0,0,0
11.214807208,0,0,0,1
11.716555042,0,0,0,0
11.716557292,1,0,0,0
12.218269917,0,0,0,0
12.218272333,0,0,1,0
12.719933875,0,0,0,0
12.719936125,0,1,0,0
13.221490625,0,0,0,0
13.221492875,0,0,0,1
13.723046208,0,0,0,0
13.723048458,1,0,0,0
14.224581333,0,0,0,0
14.224583750,0,0,1,0
14.726053625,0,0,0,0
14.726055875,0,1,0,0
15.227618375,0,0,0,0
15.227620625,0,0,0,1
15.729210833,0,0,0,0
15.729213083,1,0,0,0
16.230863417,0,0,0,0
16.230865833,0,0,1,0
16.732541417,0,0,0,0
16.732543708,0,1,0,0
17.234262000,0,0,0,0
17.234264250,0,0,0,1
17.735952708,0,0,0,0
17.735954958,1,0,0,0
18.237727292,0,0,0,0
18.237729750,0,0,1,0
18.739390750,0,0,0,0
18.739393000,0,1,0,0
19.240901917,0,0,0,0
19.240904167,0,0,0,1
19.742479125,0,0,0,0
19.742481375,1,0,0,0
20.244367125,0,0,0,0
20.244369583,0,0,1,0
20.746088458,0,0,0,0
20.746090708,0,1,0,0
21.247743958,0,0,0,0
21.247746208,0,0,0,1
21.749452458,0,0,0,0
21.749454708,1,0,0,0
22.251112958,0,0,0,0
22.251115375,0,0,1,0
22.752804042,0,0,0,0
22.752806292,0,1,0,0
23.254542333,0,0,0,0
23.254544583,0,0,0,1
23.756112792,0,0,0,0
23.756115042,1,0,0,0
24.257600208,0,0,0,0
24.257602625,0,0,1,0
24.759237750,0,0,0,0
24.759240000,0,1,0,0
25.260998667,0,0,0,0
25.261000917,0,0,0,1
25.762527167,0,0,0,0
25.762529417,1,0,0,0
26.264084083,0,0,0,0
26.264086500,0,0,1,0
26.765710792,0,0,0,0
26.765713083,0,1,0,0
27.267391875,0,0,0,0
27.267394125,0,0,0,1
27.768979250,0,0,0,0
27.768981500,1,0,0,0
28.270607583,0,0,0,0
28.270610042,0,0,1,0
28.772207958,0,0,0,0
28.772210208,0,1,0,0
29.273736208,0,0,0,0
29.273738458,0,0,0,1
29.775322208,0,0,0,0
29.775324458,1,0,0,0
30.276899125,0,0,0,0
30.276901583,0,0,1,0
30.778422500,0,0,0,0
30.778424750,0,1,0,0
31.279872542,0,0,0,0
31.279874792,0,0,0,1
31.781378375,0,0,0,0
31.781380625,1,0,0,0
32.282879417,0,0,0,0
32.282881833,0,0,1,0
32.784461208,0,0,0,0
32.784463458,0,1,0,0
33.285870583,0,0,0,0
33.285872833,0,0,0,1
33.787414125,0,0,0,0
33.787416375,1,0,0,0
34.288854333,0,0,0,0
34.288856792,0,0,1,0
34.790416875,0,0,0,0
34.790419125,0,1,0,0
35.291870000,0,0,0,0
35.291872250,0,0,0,1
35.793268333,0,0,0,0
35.793270583,1,0,0,0
35.840000000,1,0,0,0
